1, repurposed_structures:mansion_jungle, HEADING, header:ignore, 0, 0, 0
368, graveyard:ruins, MONSTER, graveyard:skeleton_creeper, 35, 1, 1
369, graveyard:ruins, MONSTER, graveyard:revenant, 45, 1, 3
370, graveyard:ruins, MONSTER, graveyard:ghoul, 50, 1, 2
371, dungeons_arise:illager_windmill, HEADING, header:ignore, 0, 0, 0
372, repurposed_structures:outpost_birch, HEADING, header:ignore, 0, 0, 0
373, repurposed_structures:outpost_birch, MONSTER, minecraft:pillager, 10, 1, 1
374, mvs:houses/barn, HEADING, header:ignore, 0, 0, 0
375, mvs:well/wells/acacia_well, HEADING, header:ignore, 0, 0, 0
376, survivalexpansion:magicdungeon, HEADING, header:ignore, 0, 0, 0
377, awesomedungeonend:end_pyramid, HEADING, header:ignore, 0, 0, 0
378, mvs:well/wells/spruce_well, HEADING, header:ignore, 0, 0, 0
379, mvs:other_decoration/crimson_enchanting_table, HEADING, header:ignore, 0, 0, 0
380, repurposed_structures:outpost_end, HEADING, header:ignore, 0, 0, 0
381, repurposed_structures:outpost_end, MONSTER, minecraft:phantom, 10, 1, 1
382, mvs:other_decoration/bee_dome, HEADING, header:ignore, 0, 0, 0
383, mvs:log_pile/birch_log_pile, HEADING, header:ignore, 0, 0, 0
384, repurposed_structures:ruins_land_warm, HEADING, header:ignore, 0, 0, 0
385, minecraft:village_savanna, HEADING, header:ignore, 0, 0, 0
386, mvs:ruins/castle_ruins, HEADING, header:ignore, 0, 0, 0
387, minecraft:village_plains, HEADING, header:ignore, 0, 0, 0
388, survivalexpansion:ghasttree4, HEADING, header:ignore, 0, 0, 0
389, bettermineshafts:mineshaft_red_desert, HEADING, header:ignore, 0, 0, 0
390, repurposed_structures:outpost_giant_tree_taiga, HEADING, header:ignore, 0, 0, 0
391, repurposed_structures:outpost_giant_tree_taiga, MONSTER, minecraft:pillager, 10, 1, 1
392, hexenwerk:magical_flower_patch, HEADING, header:ignore, 0, 0, 0
393, minecraft:village_desert, HEADING, header:ignore, 0, 0, 0
394, repurposed_structures:stronghold_end, HEADING, header:ignore, 0, 0, 0
395, repurposed_structures:stronghold_end, MONSTER, minecraft:endermite, 80, 2, 4
396, survivalexpansion:mushtree4, HEADING, header:ignore, 0, 0, 0
397, mvs:well/wells/mushroom_well, HEADING, header:ignore, 0, 0, 0
398, mvs:shed, HEADING, header:ignore, 0, 0, 0
399, repurposed_structures:outpost_nether_brick, HEADING, header:ignore, 0, 0, 0
400, repurposed_structures:outpost_nether_brick, MONSTER, minecraft:piglin, 10, 1, 1
401, mvs:houses/warped_house, HEADING, header:ignore, 0, 0, 0
402, survivalexpansion:crystal3, HEADING, header:ignore, 0, 0, 0
403, mvs:log_pile/jungle_log_pile, HEADING, header:ignore, 0, 0, 0
404, mvs:stall/pink_stall, HEADING, header:ignore, 0, 0, 0
405, survivalexpansion:crystal2, HEADING, header:ignore, 0, 0, 0
406, dungeons_arise:heavenly_rider, HEADING, header:ignore, 0, 0, 0
407, betterstrongholds:stronghold, HEADING, header:ignore, 0, 0, 0
408, soulsweapons:champions_graves, HEADING, header:ignore, 0, 0, 0
409, minecraft:mansion, HEADING, header:ignore, 0, 0, 0
410, dungeons_arise:ceryneian_hind, HEADING, header:ignore, 0, 0, 0
411, minecraft:ocean_ruin_cold, HEADING, header:ignore, 0, 0, 0
412, castle_dungeons:castle, HEADING, header:ignore, 0, 0, 0
413, end:ship, HEADING, header:ignore, 0, 0, 0
414, dungeons_arise:lighthouse, HEADING, header:ignore, 0, 0, 0
415, mvs:crystal, HEADING, header:ignore, 0, 0, 0
416, mvs:well/wells/dark_oak_well, HEADING, header:ignore, 0, 0, 0
417, mvs:houses/large_floating_island, HEADING, header:ignore, 0, 0, 0
418, graveyard:small_grave, HEADING, header:ignore, 0, 0, 0
419, repurposed_structures:mineshaft_swamp, HEADING, header:ignore, 0, 0, 0
420, ethrium:catacombs, HEADING, header:ignore, 0, 0, 0
421, ethrium:catacombs, MONSTER, minecraft:skeleton, 15, 1, 2
422, ethrium:catacombs, MONSTER, minecraft:stray, 5, 1, 1
423, repurposed_structures:temple_nether_warped, HEADING, header:ignore, 0, 0, 0
424, mvs:carts/cart, HEADING, header:ignore, 0, 0, 0
425, awesomedungeonnether:nth_giant_crimson_tree, HEADING, header:ignore, 0, 0, 0
426, minecraft:fortress, HEADING, header:ignore, 0, 0, 0
427, minecraft:fortress, MONSTER, minecraft:blaze, 10, 2, 3
428, minecraft:fortress, MONSTER, minecraft:zombified_piglin, 5, 4, 4
429, minecraft:fortress, MONSTER, minecraft:wither_skeleton, 8, 5, 5
430, minecraft:fortress, MONSTER, minecraft:skeleton, 20, 5, 5
431, minecraft:fortress, MONSTER, minecraft:magma_cube, 30, 4, 4
432, mvs:cathedral, HEADING, header:ignore, 0, 0, 0
433, mvs:cathedral, MONSTER, minecraft:skeleton, 5, 1, 2
434, mvs:cathedral, MONSTER, minecraft:zombie, 20, 2, 5
435, repurposed_structures:pyramid_giant_tree_taiga, HEADING, header:ignore, 0, 0, 0
436, gd:church, HEADING, header:ignore, 0, 0, 0
437, awesomedungeonnether:nth_absi_palace, HEADING, header:ignore, 0, 0, 0
438, minecraft:monument, HEADING, header:ignore, 0, 0, 0
439, minecraft:monument, MONSTER, minecraft:guardian, 5, 2, 4
440, dungeons_arise:wishing_well, HEADING, header:ignore, 0, 0, 0
441, graveyard:large_graveyard, HEADING, header:ignore, 0, 0, 0
442, graveyard:large_graveyard, MONSTER, graveyard:skeleton_creeper, 35, 1, 1
443, graveyard:large_graveyard, MONSTER, graveyard:revenant, 45, 1, 3
444, graveyard:large_graveyard, MONSTER, graveyard:ghoul, 50, 2, 4
445, survivalexpansion:crimtree2, HEADING, header:ignore, 0, 0, 0
446, mvs:other_decoration/fire_camp, HEADING, header:ignore, 0, 0, 0
447, mvs:houses/small_swamp_house, HEADING, header:ignore, 0, 0, 0
448, bettermineshafts:mineshaft_overgrown, HEADING, header:ignore, 0, 0, 0
449, soulsweapons:corrupt_altar, HEADING, header:ignore, 0, 0, 0
450, repurposed_structures:witch_hut_oak, HEADING, header:ignore, 0, 0, 0
451, repurposed_structures:witch_hut_oak, MONSTER, minecraft:witch, 5, 1, 1
452, repurposed_structures:witch_hut_oak, CREATURE, minecraft:cat, 5, 1, 1
453, dungeons_arise:small_blimp, HEADING, header:ignore, 0, 0, 0
454, repurposed_structures:ruins_land_icy, HEADING, header:ignore, 0, 0, 0
455, mvs:other_decoration/desert_pump, HEADING, header:ignore, 0, 0, 0
456, minecraft:ruined_portal_ocean, HEADING, header:ignore, 0, 0, 0
457, dungeons_arise:abandoned_temple, HEADING, header:ignore, 0, 0, 0
458, dungeons_arise:abandoned_temple, MONSTER, minecraft:stray, 5, 1, 1
